Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ALf_Val,ammNO3f_Val,ammSO4f_Val,ASf_Val,BRf_Val,CAf_Val,EC1f_Val,EC2f_Val,EC3f_Val,ECf_Val,OC1f_Val,OC2f_Val,OC3f_Val,OC4f_Val,OMCf_Val,OPf_Val,OPTf_Val,OCf_Val,TCf_Val,CHLf_Val,CLf_Val,CRf_Val,CUf_Val,fAbs_Val,RefF_405_Val,RefF_445_Val,RefF_532_Val,RefF_635_Val,RefF_780_Val,RefF_808_Val,RefF_980_Val,TransF_405_Val,TransF_445_Val,TransF_532_Val,TransF_635_Val,TransF_780_Val,TransF_808_Val,TransF_980_Val,FlowRate_Val,RefI_405_Val,RefI_445_Val,RefI_532_Val,RefI_635_Val,RefI_780_Val,RefI_808_Val,RefI_980_Val,TransI_405_Val,TransI_445_Val,TransI_532_Val,TransI_635_Val,TransI_780_Val,TransI_808_Val,TransI_980_Val,FEf_Val,PBf_Val,MGf_Val,MNf_Val,MT_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,RefM_405_Val,RefM_445_Val,RefM_532_Val,RefM_635_Val,RefM_780_Val,RefM_808_Val,RefM_980_Val,TransM_405_Val,TransM_445_Val,TransM_532_Val,TransM_635_Val,TransM_780_Val,TransM_808_Val,TransM_980_Val,NIf_Val,NO3f_Val,N2f_Val,OP405TR_Val,OP445TR_Val,OP532TR_Val,OP780TR_Val,OP808TR_Val,OP980TR_Val,OP405TT_Val,OP445TT_Val,OP532TT_Val,OP780TT_Val,OP808TT_Val,OP980TT_Val,Pf_Val,Kf_Val,RBf_Val,SampDur_Val,SeaSaltf_Val,SEf_Val,SIf_Val,NAf_Val,SOILf_Val,SRf_Val,SO4f_Val,Sf_Val,TIf_Val,Vf_Val,ZNf_Val,ZRf_Val
IMPAER,ACAD1,1,07/01/2018,44.3771,-68.261,157.3333,ME,-999,-999,-999,-999,-999,-999,0.69739,0.03956,0,0.29085,0.49672,0.76407,0.89956,0.41749,5.44309,0.4461,0.59346,3.02394,3.31479,-999,-999,-999,-999,-999,67.52,624.7,385.72,361.83,419.78,421.21,417.37,29.59,157.11,154.36,142.94,126.43,120.61,17.27,-489.3275,49.09,524.37,306.82,295.66,361.56,354.53,380.17,10.21,66.42,84.19,95.65,92.51,86.6,13.32,-999,-999,-999,-999,20.39958,-999,-999,-999,-999,38.05,448.93,235.63,231.78,288.42,278.21,335.34,0,0,0.12,1.32,3.44,2.95,0.54,-999,-999,-999,0.46341,0.48427,0.49061,0.44352,0.46341,0.39186,0.58939,0.59297,0.59686,0.56773,0.56698,0.5508,-999,-999,-999,220.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/04/2018,44.3771,-68.261,157.3333,ME,-999,-999,-999,-999,-999,-999,0.41704,0.04558,0,0.08182,0.28227,0.46464,0.69445,0.20978,3.65749,0.3808,0.39376,2.03194,2.11377,-999,-999,-999,-999,-999,88.62,149,148.01,241.85,210.41,198.48,252.54,51.2,211.02,185.52,223.68,201.82,181,36.79,-489.2725,77.82,126.67,128.03,228.91,195.5,181.44,236.02,25.37,124.33,128.2,175.57,166.26,146.59,29.55,-999,-999,-999,-999,10.73813,-999,-999,-999,-999,71.47,97.11,101.84,196.2,163.99,150.57,214.14,0,2.37,4.89,12.96,22.54,21.34,6.55,-999,-999,-999,0.24787,0.35584,0.33843,0.33084,0.31471,0.25081,0.40325,0.4027,0.39827,0.3799,0.3759,0.3475,-999,-999,-999,220.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/07/2018,44.3771,-68.261,157.3333,ME,-999,-999,-999,-999,-999,-999,0.13603,0.02957,0,0.06501,-0.00775,0.12659,0.23781,0.11996,1.03896,0.10059,0.14926,0.5772,0.64221,-999,-999,-999,-999,-999,115.63,333.99,338.33,213.01,216.73,330.44,393.33,39.31,94.12,109.06,110.17,66.84,151.76,48.93,-489.33,104.28,325.23,304.82,205.4,218.43,316.23,382.93,29.83,77,92.6,102.76,63.96,141.72,46.82,-999,-999,-999,-999,4.18906,-999,-999,-999,-999,82.64,284.99,284.39,181.14,203.3,283.94,354.21,5.3,18.37,31.55,45.15,35.78,82.86,31.64,-999,-999,-999,0.12359,0.13124,0.05353,0.10718,0.09297,0.09035,0.14937,0.15269,0.14529,0.14862,0.14522,0.13885,-999,-999,-999,220.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/10/2018,44.3771,-68.261,157.3333,ME,0.02465,0.53628,0.88003,0,0.0025,0.02544,0.45497,0.01205,0,0.25492,0.19015,0.63601,0.76129,0.27907,3.74152,0.2121,0.3541,2.07862,2.33354,0.15719,0.00509,0.00025,0.00139,3.26,66.71,622.43,383.67,360.14,421.18,421.46,419.36,27.9,148.61,147.21,136.32,121.43,114.31,16.46,21.56,48.75,519.25,301.74,290.45,352.67,347.53,378.83,10.92,67.61,80.81,87.36,86.08,79.54,12.32,0.02537,0.00187,0.04234,0.00077,12.87283,11.5912,7.24887,5.62396,5.9672,40.54,467.82,254.01,248.77,308.7,303.09,350.35,0,2.18,4.54,8.53,14.49,14.3,2.18,0.00013,0.41572,0.00496,0.23165,0.23165,0.23465,0.20541,0.20877,0.17622,0.3753,0.3723,0.36638,0.34131,0.33499,0.32419,0.00069,0.04558,-0.00005,1407,0.28294,0.00013,0.04413,0.23989,0.27152,0.00077,0.64002,0.25786,0.00234,0.00004,0.00387,0.00039
IMPAER,ACAD1,1,07/13/2018,44.3771,-68.261,157.3333,ME,-999,-999,-999,-999,-999,-999,0.22972,0.02207,0,0.07653,0.01591,0.20392,0.37282,0.18649,1.71792,0.17526,0.21202,0.9544,1.03094,-999,-999,-999,-999,-999,38.34,520.85,261.86,194.41,264.69,405.13,420.93,21.88,354.48,142.72,148.72,150.89,196.47,42.84,-489.2575,35.12,473,239.12,185.54,249.93,390.02,399.83,15.13,266.95,117.12,135.06,136.63,180.12,39.16,-999,-999,-999,-999,5.7737,-999,-999,-999,-999,26.54,359.93,195.99,150.06,211.32,335.53,361.09,0.24,22.24,15.74,28.1,44.05,60.41,18.09,-999,-999,-999,0.19148,0.18761,0.17659,0.15305,0.16584,0.13989,0.21742,0.2171,0.21603,0.19848,0.19995,0.19252,-999,-999,-999,220.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/16/2018,44.3771,-68.261,157.3333,ME,-999,-999,-999,-999,-999,-999,0.28095,0.04948,0,0.12805,0.10019,0.2396,0.2622,0.08458,1.60011,0.20238,0.2644,0.88895,1.01702,-999,-999,-999,-999,-999,89.01,147.1,145.85,237.16,207.12,196.18,249.14,49.23,204.57,178.18,212.47,192.9,172.58,35.02,-489.3375,78.41,123.1,124.86,222.19,190.17,175.21,230.9,27.94,129.58,125.92,167.15,157.71,139.47,28.15,-999,-999,-999,-999,5.77743,-999,-999,-999,-999,73.08,101.39,106.19,202.08,168.72,156.06,219,0.5,7.26,11.98,26.53,40.78,37.66,10.91,-999,-999,-999,0.17014,0.21564,0.20238,0.1927,0.18201,0.14173,0.29218,0.28635,0.2742,0.25012,0.24728,0.22697,-999,-999,-999,220.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
IMPAER,ACAD1,1,07/19/2018,44.3771,-68.261,157.3333,ME,0.02393,0.07446,0.40771,0,0.00089,0.00816,0.21061,0.03595,0,0.082,0.04818,0.13611,0.31113,0.11233,1.39016,0.16456,0.18835,0.77231,0.85431,0.01602,0.00027,-0.00008,0.00011,0.76,87.6,145,146.4,233.24,207.9,196.57,252.93,54.09,223.16,196.69,237.36,212.17,192.41,38.35,21.6025,79.64,132.92,136.34,231.22,201.66,184.63,247.42,38.61,175.17,167.48,216.23,195.02,171.3,34.05,0.0143,0.00004,0.00476,0.00058,5.17606,4.8508,2.5017,2.67436,2.17644,74.81,110.49,116.92,208.65,180.31,168.95,240.29,5.07,32.3,43.47,79.11,95.73,88.01,21.77,-0.00005,0.05772,0.03092,0.10757,0.15902,0.14717,0.14878,0.10657,0.06955,0.20506,0.2008,0.19372,0.17767,0.16739,0.14928,0,0.01147,0.00007,1440,0.02884,0.00008,0.03638,0.04245,0.19327,0.00027,0.29652,0.12928,0.0011,0.00003,0.0009,0.00092
IMPAER,ACAD1,1,07/22/2018,44.3771,-68.261,157.3333,ME,0.07852,0.12127,1.11243,0,0.00236,0.01856,0.10002,0.02005,0,0.02237,-0.02157,0.09829,0.22789,0.12526,0.94963,0.0977,0.0953,0.52757,0.54992,0.28629,0.04142,-0.00002,0.00021,0.66,36.66,503.3,244.86,195.4,263.63,400.73,414.41,22.77,382.24,146.83,163.93,164.28,213.31,46.61,21.34,34.7,480.18,226.21,192.12,254.02,390.07,401.13,18.25,320.5,125.45,153.77,154.07,199.13,43.29,0.0411,0.00058,0.03808,0.00065,5.78441,5.40428,3.77394,2.01047,3.39381,27.97,382.64,193.1,160.88,223.26,347.38,374.65,2.55,69.48,35.75,58.9,76.65,102.32,27.66,0.00018,0.09401,0,0.08729,0.09524,0.08028,0.075,0.07984,0.04142,0.08848,0.08833,0.08805,0.09025,0.0878,0.08506,0,0.02473,0.00014,1440,0.51532,0.00033,0.14455,0.15922,0.67279,0.0005,0.80904,0.28144,0.00536,0.00027,0.00052,0.00041
IMPAER,ACAD1,1,07/25/2018,44.3771,-68.261,157.3333,ME,0.0014,0.02703,0.63441,0.00013,0.00071,0.00248,0.04732,0.01226,0,-0.00615,0.00335,0.06485,0.0549,0.04058,0.41294,0.06573,0.05071,0.22941,0.22325,0.12265,0.02337,-0.00008,0.00015,0.42,84.75,259.61,253.09,351.68,149.9,290.44,286.85,66.75,178.13,180.79,237.85,69.62,136.57,26.76,21.5275,80.61,249.82,244.73,359.49,147.25,289.38,277.19,60.23,162.74,167.83,226.93,66.46,132.61,25.36,0.00216,0.0003,0.01582,-0.00004,2.21417,2.33583,1.17039,1.04378,1.29205,68.64,216.18,220.18,324.47,136.61,267.53,267.49,28.21,87.51,104.15,159.04,51.65,103.6,21.73,0.00014,0.02095,0.00527,0.04737,0.04769,0.04135,0.04273,0.04422,0.02718,0.0561,0.05315,0.0503,0.03858,0.05806,0.04653,0,0.00413,0.00019,1440,0.22077,0.00032,-0.00384,0.07906,0.00306,0.00004,0.46139,0.15678,0.00014,0.00034,0.00013,0.00195
IMPAER,ACAD1,1,07/28/2018,44.3771,-68.261,157.3333,ME,0.0064,0.11467,1.55254,0,0.00139,0.00391,0.30229,0.01528,0,0.08456,0.01775,0.22043,0.19117,0.1145,1.39835,0.23301,0.26624,0.77686,0.86142,0.02527,0.00105,0.00008,0.0003,1.91,85.42,447.03,424.61,363.04,459.13,481.57,423.38,76.95,413.48,308.07,299.05,388.66,340.59,82.76,21.4025,72.95,381.95,389.98,341.18,415.63,439.48,395.98,45.9,266.93,223.61,229.28,306.27,268.29,67.57,0.00848,0.00055,0.00631,0.00024,5.93417,4.71579,4.46123,1.47294,3.24285,58.37,304.48,322.28,295.47,355.56,385.81,358.75,1.58,15.06,19.9,34.46,75.87,69.59,26.07,0.00007,0.08889,0.00701,0.24549,0.23723,0.26135,0.21653,0.20038,0.15414,0.28859,0.28507,0.28239,0.24913,0.24773,0.22961,0,0.011,0.00006,1440,0.04549,0.00016,0.00212,0.01029,0.04724,-0.00005,1.12912,0.41809,0.00051,0.00022,0.00123,-0.00038
