Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ALf_Val,ammNO3f_Val,ammSO4f_Val,ASf_Val,BRf_Val,CAf_Val,EC1f_Val,EC2f_Val,EC3f_Val,ECf_Val,OC1f_Val,OC2f_Val,OC3f_Val,OC4f_Val,OMCf_Val,OPf_Val,OPTf_Val,OCf_Val,TCf_Val,CHLf_Val,CLf_Val,CRf_Val,CUf_Val,fAbs_Val,RefF_405_Val,RefF_445_Val,RefF_532_Val,RefF_635_Val,RefF_780_Val,RefF_808_Val,RefF_980_Val,TransF_405_Val,TransF_445_Val,TransF_532_Val,TransF_635_Val,TransF_780_Val,TransF_808_Val,TransF_980_Val,FlowRate_Val,RefI_405_Val,RefI_445_Val,RefI_532_Val,RefI_635_Val,RefI_780_Val,RefI_808_Val,RefI_980_Val,TransI_405_Val,TransI_445_Val,TransI_532_Val,TransI_635_Val,TransI_780_Val,TransI_808_Val,TransI_980_Val,FEf_Val,PBf_Val,MGf_Val,MNf_Val,MT_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,RefM_405_Val,RefM_445_Val,RefM_532_Val,RefM_635_Val,RefM_780_Val,RefM_808_Val,RefM_980_Val,TransM_405_Val,TransM_445_Val,TransM_532_Val,TransM_635_Val,TransM_780_Val,TransM_808_Val,TransM_980_Val,NIf_Val,NO3f_Val,N2f_Val,OP405TR_Val,OP445TR_Val,OP532TR_Val,OP780TR_Val,OP808TR_Val,OP980TR_Val,OP405TT_Val,OP445TT_Val,OP532TT_Val,OP780TT_Val,OP808TT_Val,OP980TT_Val,Pf_Val,Kf_Val,RBf_Val,SampDur_Val,SeaSaltf_Val,SEf_Val,SIf_Val,NAf_Val,SOILf_Val,SRf_Val,SO4f_Val,Sf_Val,TIf_Val,Vf_Val,ZNf_Val,ZRf_Val
IMPAER,BRIG1,1,06/15/2021,39.465,-74.4492,5,NJ,0.01736,0.16428,0.78954,0,0.00093,0.0178,0.44489,0.07362,0,0.24821,0.00131,0.25011,0.46542,0.32795,2.36718,0.27031,0.37411,1.3151,1.56331,0.09048,0.00143,0.00021,0.00101,-999,28.34,206.08,486.61,419.75,167.52,188.55,836.56,23.55,132.75,419.8,327.42,104.04,91.03,102.96,21.6375,22.11,164.44,383.28,369,147.93,164.23,766.04,12.12,73.13,264.4,240.65,80.94,70.79,84.26,0.02153,0.00058,0.01088,0.00082,8.32053,8.04197,4.25458,4.06595,3.97602,16.08,128.88,289.15,288.17,119.91,139.66,664.07,1.35,6.24,26.71,33.18,18.66,18.73,30.36,0.00023,0.12735,0.00069,0.2545,0.23684,0.23476,0.23684,0.19703,0.18766,0.40952,0.39807,0.38413,0.33752,0.33002,0.30673,0.00288,0.02704,-0.00011,1425,0.16286,0.00027,0.0485,0.0557,0.24395,0.00025,0.57421,0.22598,0.002,0,0.00364,0.00093
IMPAER,BRIG1,1,06/18/2021,39.465,-74.4492,5,NJ,0.02926,0.48649,0.79778,0,0.00302,0.03416,0.31865,0.0344,0,0.21127,-0.00715,0.27772,0.57803,0.35278,2.41767,0.14177,0.21089,1.34315,1.55442,0.14104,0.00339,0.00017,0.00086,-999,65.62,318.33,213.85,321.18,192.19,326.49,397.11,56.44,280.84,134.17,155.82,128.47,205.39,52.51,21.655,50.6,265.18,191.04,297.87,170.69,293.35,363.44,21.27,129.78,76.58,102.21,90.48,145.38,39.55,0.03062,0.00059,0.02277,0.00083,15.28122,14.7186,5.1066,10.1746,4.544,43.84,235.02,174,266.03,151.6,260.67,333.21,0.97,8.3,7.18,14.86,20.98,35.59,14.49,0.00011,0.37712,0.00039,0.06719,0.1024,0.06921,0.11868,0.13256,0.09607,0.22534,0.22344,0.22255,0.18775,0.18561,0.16183,0.00071,0.0265,-0.00011,1440,0.25387,0.00025,0.07111,0.16231,0.37692,0.00024,0.5802,0.24306,0.00294,0.00013,0.00458,0.00048
IMPAER,BRIG1,1,06/21/2021,39.465,-74.4492,5,NJ,0.1566,0.27664,0.82961,0,0.00141,0.03861,0.15891,0.02125,0,0.09694,-0.00035,0.10458,0.26333,0.16023,1.09982,0.08322,0.11675,0.611,0.70794,0.60604,0.1085,0.00012,0.0003,-999,154.86,228.82,406.08,360.27,627.74,432.17,350.69,106.93,121.91,365.6,215.49,365.05,237.55,44.83,21.565,126.77,193.91,326.23,321.81,556.1,380.33,317.3,55.95,72.32,248.63,165.89,296.25,194.13,37.97,0.08707,0.00034,0.05108,0.00109,8.4199,8.48977,4.79792,3.62198,4.86779,108.88,166.99,246.39,268.81,455.33,308.9,259.31,7.1,12.89,63.04,51.02,125.03,84.83,19.42,0.00015,0.21445,0.00482,0.05689,0.06498,0.088,0.09103,0.09103,0.10188,0.10414,0.10495,0.11183,0.11207,0.11522,0.11106,0.00006,0.12161,0.00029,1418,1.09087,0.00031,0.33452,0.26389,1.47391,0.00077,0.60335,0.20578,0.01175,0.00031,0.00073,0.00026
IMPAER,BRIG1,1,06/24/2021,39.465,-74.4492,5,NJ,0.00839,0.18027,0.36363,0,0.00101,0.01259,0.19015,0.01872,0,0.13608,-0.02318,0.11756,0.35955,0.20911,1.32449,0.07279,0.13771,0.73582,0.8719,0.07109,0.00111,0.00006,0.00063,-999,53.82,278.2,160.22,292.46,184.73,283.61,333.52,55.48,294.45,143.09,162.16,131.87,220.07,56.89,21.6525,44.3,240.73,145.18,275.99,169.55,260.24,312.81,28.81,175.91,98.06,124.61,107.6,180.83,48.38,0.01284,0.00005,0.01203,0.00044,7.50927,7.31948,2.45027,5.059,2.26048,37.87,210.72,127.67,255.89,153.89,235.71,287.48,4.16,33.33,24.78,42.59,48.95,84.7,28.96,0.00011,0.13974,-0.00009,0.08791,0.09031,0.09767,0.09457,0.06915,0.06282,0.15533,0.15222,0.14613,0.12396,0.12237,0.10614,0.00166,0.01582,0.00003,1440,0.12796,0.00013,0.02242,0.07677,0.12805,0.00016,0.26446,0.11552,0.00112,0,0.00221,-0.00062
IMPAER,BRIG1,1,06/27/2021,39.465,-74.4492,5,NJ,0.37586,0.97908,2.38051,0,0.00123,0.11894,0.13656,0.05328,0,0.05598,-0.03007,0.11245,0.23592,0.1868,1.15013,0.13386,0.11959,0.63897,0.69494,0.93719,0.30805,0.00047,0.00054,-999,169.45,394.29,156.89,686.65,448.64,250.14,336.12,195.44,451.95,173.66,338.73,536.08,222.03,82.34,21.7025,151.06,361.66,142.13,651.11,403.11,226.98,307.89,130.13,317,131.14,263.63,435.49,181.11,68.9,0.2238,0.00048,0.13532,0.00398,21.553,22.124,9.31779,12.2352,9.88876,115.34,282.75,113.38,604.37,346.23,194.59,270.67,25.66,70.37,36.36,97.22,213.38,89.23,42.92,0.00052,0.75898,0.00331,0.14424,0.12932,0.11699,0.08762,0.10372,0.09906,0.11303,0.11362,0.12308,0.11583,0.11509,0.10546,0.00006,0.10991,0.00021,1440,1.68694,0.00072,0.81189,0.69551,3.63611,0.00211,1.73128,0.53151,0.02688,0.00136,0.00133,-0.0004
IMPAER,BRIG1,1,06/30/2021,39.465,-74.4492,5,NJ,0.0509,0.72392,1.2796,0,0.00251,0.04213,0.28539,0.03672,0,0.19339,0.04675,0.44993,0.69651,0.34099,2.99324,0.12873,0.20714,1.66291,1.85629,0.47038,0.00839,0.00016,0.00085,-999,73.94,457.87,480.31,270.97,717.2,643.58,392.85,71.16,405.84,380.76,246.22,380.92,426.2,66.13,21.8025,55.06,354.66,393.67,226.86,623.91,554.37,338.6,28.47,199.9,225.51,166.97,279.18,315.93,51.35,0.03822,0.00037,0.0775,0.00092,15.89969,16.1507,6.35237,9.54732,6.60338,43.62,280.96,321.39,187.72,552.78,472.08,290.46,0.95,12.07,19.76,22.24,61.59,71.84,17.97,0.00007,0.56118,0.00012,0.1213,0.12506,0.13405,0.09436,0.11548,0.08528,0.20674,0.20967,0.21346,0.19104,0.19148,0.16721,0.00003,0.04702,0.00008,1440,0.84668,0.00041,0.11405,0.47824,0.56656,0.00099,0.93062,0.36954,0.00486,0.00021,0.00312,-0.00027
IMPAER,BRIG1,1,07/03/2021,39.465,-74.4492,5,NJ,0.00524,0.22993,0.51058,0,0.00069,0.00668,0.22053,0.02524,0,0.11764,-0.02457,0.10789,0.32193,0.18964,1.30142,0.12812,0.18203,0.723,0.84065,0.14409,0.00224,0.0001,0.00098,-999,67.69,506.18,166.25,751.33,233.84,434.48,422.97,54.22,364.94,120.96,541.69,148.15,55.02,53.69,21.355,56.99,429.64,145.65,669.1,211.54,404.54,384.11,34.39,246.38,90.86,434.4,124.96,48.06,46.59,0.00683,0.00049,0.01559,0.0001,7.22416,7.19091,2.50508,4.71908,2.47183,45.48,339.94,120.22,572.8,187.28,366.8,347.55,7.45,65.26,30.82,190.66,68.63,31.77,30.96,0.00006,0.17824,0.00141,0.15075,0.15559,0.14585,0.10587,0.12475,0.10158,0.19657,0.19374,0.19252,0.1695,0.16291,0.15746,0.00503,0.03591,0.00018,1434,0.25936,0.0001,0.00532,0.10235,0.05289,0.0006,0.37133,0.14383,0.00036,0,0.00117,-0.00015
IMPAER,BRIG1,1,07/06/2021,39.465,-74.4492,5,NJ,0.02564,0.60215,1.98389,0.0001,0.00365,0.03215,0.80819,0.07361,0,0.33586,0.3021,0.65897,0.81196,0.37068,4.84137,0.54594,0.68498,2.68964,3.02551,0.28196,0.00606,0.00034,0.00463,-999,118.19,81.45,318.08,511.21,459.46,257.73,575.67,83.8,42.8,192.61,289.58,178.86,108.1,35.36,21.705,81.33,61.49,235.22,399.33,380.47,203.56,509.71,26.49,17.08,96.17,172.37,117.04,71.25,25.22,0.02382,0.00105,0.0485,0.00069,19.62604,17.4744,10.72868,8.89736,8.57701,63.9,51.08,186.89,316.1,318.11,167.31,452.11,0,0,0.58,3.29,5.38,3.51,2.51,0.00033,0.46678,0.00302,0.52346,0.52928,0.5174,0.51437,0.4779,0.45959,0.68541,0.68895,0.69683,0.65232,0.65082,0.62058,0.00032,0.11247,0.00014,1423,0.50753,0.00063,0.05361,0.2269,0.30621,0.00363,1.44283,0.52756,0.00323,0.00056,0.00377,0.00182
IMPAER,BRIG1,1,07/09/2021,39.465,-74.4492,5,NJ,0.03086,0.29265,0.88797,0,0.00171,0.02273,0.17258,0.04866,0,0.08925,-0.02935,0.13753,0.35853,0.21035,1.45629,0.13199,0.15334,0.80904,0.89829,0.51378,0.04711,0.00022,0.00059,-999,205.39,457.01,169.87,692.64,460.5,257.22,346.07,242.63,552.55,198.99,361.49,579.65,235.75,86.62,21.585,172.85,397.17,150.38,659.69,414.98,235.33,318.75,151.95,364.88,145.55,283.1,474.75,194.16,73.43,0.02556,0.00047,0.04956,0.00072,11.11095,11.425,3.66693,7.44402,3.98103,135.28,323.33,127.55,620.58,372.51,207.3,286.1,22.92,65.35,34.17,91.56,205.13,85.09,40.48,0.00008,0.22686,0.00003,0.14618,0.13012,0.10783,0.06989,0.11542,0.10783,0.15463,0.15339,0.15426,0.15316,0.14915,0.13762,0.00157,0.03022,0.00013,1440,0.9248,0.00018,0.06316,0.35493,0.33006,0.00037,0.6458,0.24001,0.00309,0.00001,0.0013,-0.00007
IMPAER,BRIG1,1,07/12/2021,39.465,-74.4492,5,NJ,0.06819,0.61186,1.77566,0.00014,0.00275,0.03736,0.27637,0.00819,0,0.15427,0.29504,0.36827,0.67625,0.33992,3.25759,0.13029,0.2205,1.80977,1.96404,0.42148,0.00432,0.00013,0.0006,-999,63.54,230.63,516.77,532.89,494.69,655.59,832.43,41.66,184.99,362.57,432.87,312.84,384.91,113.19,21.73,48.25,187.3,414.94,453.15,424.18,571.9,716.65,18.21,99.14,223.75,307.37,238.28,296.6,88.09,0.04556,0.00115,0.05432,0.00085,15.82115,15.2253,7.8137,8.00745,7.21785,36.27,140.03,324.02,358.98,344.62,462.67,603.1,0,3.22,13.27,30.01,38.87,51.15,23.75,0.00015,0.47431,0.01499,0.12022,0.13596,0.12232,0.11812,0.13407,0.10079,0.21127,0.21862,0.22212,0.20998,0.20845,0.19379,0.00078,0.04928,-0.00006,1440,0.75866,0.00056,0.13169,0.45356,0.65981,0.00054,1.29139,0.51639,0.00553,0.0004,0.00217,0.00089
IMPAER,BRIG1,1,07/15/2021,39.465,-74.4492,5,NJ,0.13333,0.40693,1.45355,0.00006,0.00198,0.0435,0.62414,0.05627,0,0.38129,0.09314,0.50747,0.70583,0.46043,3.71878,0.29912,0.46996,2.066,2.44728,0.09304,0.00288,0.00011,0.00079,-999,102.72,355.4,485.32,398.65,509.44,328.82,453.56,70.27,215.13,338.83,269.56,268.41,172.71,48.02,21.7775,72.85,259.21,367.16,321.12,399.2,274.62,389.23,17.65,67.57,139.42,140,157.31,105.84,32.39,0.09014,0.00057,0.02139,0.0018,14.58529,13.7984,8.22958,6.35571,7.44269,59,207.02,294.86,268.39,327.91,222.97,343.52,0.96,3.29,6.3,8.2,15.87,12.46,6.63,0.00023,0.31545,0.00198,0.34387,0.34387,0.35971,0.29552,0.34702,0.24581,0.48526,0.48228,0.48657,0.44869,0.44869,0.41154,0.00032,0.05091,0.00005,1440,0.16747,0.00078,0.28592,0.12439,1.31466,0.00053,1.05713,0.4444,0.01049,0.00039,0.00273,0.00029
IMPAER,BRIG1,1,07/18/2021,39.465,-74.4492,5,NJ,0.0358,0.13172,0.77082,0,0.00099,0.0154,0.25811,0.09294,0,0.14716,-0.02306,0.16706,0.33957,0.12625,1.46468,0.20389,0.26978,0.8137,0.96086,0.26367,0.00487,0.00007,0.00033,-999,128.25,73.01,334.72,500.67,425.42,291.82,431.17,84.11,44.04,194.15,284.43,182.28,108.06,37.78,21.705,106.24,61.3,300.56,455.01,400.48,277.38,402.2,46.15,27.2,138.37,226.68,150.81,90.49,31.68,0.02348,0.00092,0.02756,0.00055,7.62743,7.69422,3.27016,4.35727,3.33695,79.49,44.36,224.08,358.55,325.93,228.25,336.63,7.34,5.34,36.49,81.26,71.6,43.47,19.27,-0.00002,0.10211,-0.00112,0.22495,0.2211,0.23569,0.21951,0.21122,0.20892,0.29104,0.28509,0.28632,0.24044,0.24271,0.21173,0.00064,0.02538,0.00001,1440,0.47461,0.00036,0.07313,0.17484,0.34796,0.00027,0.5606,0.22915,0.00267,0.00003,0.00086,0.00036
IMPAER,BRIG1,1,07/21/2021,39.465,-74.4492,5,NJ,0.02368,0.34858,2.46225,0,0.00217,0.02819,2.01189,0.06127,0,1.10682,0.94046,1.88687,2.9566,1.72355,15.2529,0.96635,1.6544,8.47383,9.58065,0.09906,0.00453,0.006,0.00294,-999,149.57,236.35,655.17,412.52,588.34,419.89,380.51,120.12,127.39,567.15,209.86,368.44,229.18,44.41,20.915,80.71,155.88,337.75,294.45,324.34,249.14,225.94,8.37,13.84,104.05,55.05,118.19,75.16,16.68,0.06228,0.00225,0.02538,0.00199,28.78175,34.2423,14.3124,14.4693,19.773,69.54,143.47,271.53,265.32,243.09,203.44,172.07,0,0,0,0,0,0,0,0.00065,0.27022,0.005,0.78085,0.62207,0.94551,0.90324,0.87083,0.92445,1.64571,1.64581,1.66647,1.60472,1.60912,1.5519,0.00317,0.06321,0.00022,1363,0.17831,0.00052,0.06828,0.02834,0.42412,0.00015,1.79073,0.27744,0.00275,0.00015,0.01166,0.00131
IMPAER,BRIG1,1,07/24/2021,39.465,-74.4492,5,NJ,0.02525,0.28496,1.03411,0,0.00363,0.03814,0.85932,0.09145,0,0.78458,0.39299,0.74349,1.29697,0.59816,5.75604,0.16619,0.5944,3.1978,3.98238,0.04369,0.00339,0.00012,0.00228,-999,154.06,237.37,647.66,412.15,595.85,423.57,380.76,117.41,125.77,561.4,215.67,369.47,232.24,45.57,21.625,94.57,172.18,369.7,303.55,372.19,290.08,263.39,15.71,23.58,140.48,71.5,149.7,94.77,21.38,0.03641,0.00175,0.01592,0.00125,16.48108,15.2659,9.54752,6.93356,8.33231,81.48,154.04,303.74,278.37,303.1,241.68,214.75,0,0,0,0,6.89,3.86,0,0.00023,0.2209,0.00432,0.1711,0.22581,0.22581,0.28022,0.28022,0.26061,0.62822,0.63656,0.62087,0.56318,0.55463,0.51632,0.00004,0.06035,0.00023,1440,0.07864,0.00074,0.07338,0.05196,0.39398,0.00047,0.75208,0.32032,0.0028,0.00002,0.00687,0.0017
IMPAER,BRIG1,1,07/27/2021,39.465,-74.4492,5,NJ,0.02771,0.3269,2.622,0.00033,0.00257,0.03986,1.71218,0.02481,0,1.1282,0.78963,1.31956,2.1458,1.21382,10.9397,0.60879,1.448,6.0776,7.2058,0.04967,0.00391,0.00387,0.00532,-999,55.49,165.44,617.93,170.07,537.77,966.69,378.12,34.9,114.48,397.16,104.44,309.27,383.78,46.53,21.1825,29.59,94.15,385.54,116.29,334.91,699.98,243.63,3.42,17.11,86.3,30.76,110.93,140.83,19.89,0.07116,0.0015,0.00769,0.002,25.93751,30.3692,11.20005,14.7375,15.6317,23.84,76.13,320.62,99.79,251.24,596.28,175.3,0,0,0,0,0,0,0,0.00212,0.25341,0.0062,0.70781,0.74255,0.82601,0.89028,0.768,0.82601,1.4586,1.46445,1.4713,1.40424,1.39725,1.34448,0.00174,0.05981,0.00009,1421,0.08941,0.00038,0.0888,0.05336,0.52552,0.00054,1.90691,0.31329,0.00323,0.00018,0.00751,-0.00006
IMPAER,BRIG1,1,07/30/2021,39.465,-74.4492,5,NJ,0.0202,0.15319,1.70484,0.00029,0.00168,0.02477,1.11664,0.11508,0,0.6041,0.27626,0.75445,1.28111,0.65677,6.47316,0.62761,0.99187,3.5962,4.20031,0.03225,0.00189,0.00039,0.00127,-999,85.99,276.48,142.39,456.83,163.99,335.9,226.03,61.34,199.28,117.48,276.99,80.12,167.1,25.76,21.6825,53.36,166.17,86.87,322.71,120.85,233.82,170.23,11.25,50.25,38.9,122.56,40.38,83.18,14.8,0.02928,0.00073,0.00593,0.00127,18.11396,16.2601,11.13522,6.97874,9.28134,43.68,130.73,67.04,253.4,94.51,180.81,134.79,0,0,0,0.18,0.35,1.57,0.18,0.00024,0.11875,0.00498,0.55692,0.59972,0.57453,0.61973,0.59555,0.57019,1.03046,1.02418,1.01138,0.9442,0.93551,0.89166,0.0021,0.0553,0.00015,1440,0.05805,0.00051,0.05163,0.01953,0.288,0.00029,1.23988,0.48757,0.00194,0.00016,0.00489,0.00142
IMPAER,BRIG1,1,08/02/2021,39.465,-74.4492,5,NJ,0.01271,0.16435,0.74811,0,0.00156,0.01934,0.74953,0.11092,0,0.45412,0.03688,0.34246,0.89635,0.61026,4.12609,0.40632,0.61076,2.29227,2.7464,0.04606,0.00126,0.00013,0.00157,-999,28.24,190.9,517.81,439.09,162.33,168.32,822.76,22.46,130.01,417.09,307.24,98.34,87.43,94.96,21.6575,18.08,122.1,342.65,336.71,120.2,128.45,674.11,6.97,44.5,174.47,158.98,57.28,51.49,60.72,0.02109,0.00094,0.00368,0.00036,10.48338,9.9014,6.35327,4.13011,5.77129,12.81,84.74,245.58,248.14,89.99,96.8,533.77,1.14,4.11,12.53,13.1,8.68,9.72,14.8,0.00016,0.1274,0.00199,0.37018,0.38375,0.35587,0.34148,0.35587,0.33383,0.67293,0.6596,0.63239,0.56207,0.55225,0.50915,0.00003,0.04282,-0.00003,1440,0.08291,0.00025,0.03255,0.01272,0.19571,0.00029,0.54408,0.22097,0.00213,0.00015,0.00392,-0.00003
IMPAER,BRIG1,1,08/05/2021,39.465,-74.4492,5,NJ,0.01625,0.32939,0.75625,0,0.00253,0.02369,0.5857,0.03008,0,0.33242,0.03282,0.40592,0.76454,0.43504,3.45902,0.28336,0.41329,1.92168,2.2541,0.04733,0.00301,0.00017,0.00162,-999,198.71,739.55,508.27,304.72,841.57,232.11,389.36,43.41,329.29,165.05,134.46,114.51,84.48,30.32,21.6225,165.72,545.97,391.11,232,780.37,187.21,343.53,10.66,96.39,61.62,62.69,62.03,47.39,19.29,0.03133,0.00092,0.01729,0.00055,11.63905,10.9482,5.91928,5.71977,5.22845,151.19,470.55,341.2,187.49,755.29,154.59,291.19,0,4.53,4,6.54,10.48,8.42,4.43,0.00012,0.25534,0.00401,0.2292,0.20399,0.20829,0.0447,0.25698,0.2492,0.44626,0.44214,0.42731,0.38649,0.3881,0.36459,0.00062,0.03359,-0.00008,1440,0.08519,0.00017,0.045,0.05709,0.26617,0.00031,0.55,0.23291,0.00203,0,0.00418,0.00003
IMPAER,BRIG1,1,08/08/2021,39.465,-74.4492,5,NJ,0.0095,0.18136,1.07631,0,0.00095,0.0087,0.40933,0.02286,0,0.15878,-0.03322,0.17683,0.43211,0.27252,2.01897,0.27341,0.34912,1.12165,1.28043,0.14451,0.00092,0.00012,0.0005,-999,53.39,273.64,164.26,288.73,183.29,281.61,323.63,51.63,276.11,133.84,149.54,118.18,207.9,53.76,21.6475,41.74,232.72,145.38,280.9,167.56,254.04,303.34,22.43,144.69,85.04,109.31,90.52,162.27,44.04,0.01096,0.00066,0.01023,0.00021,6.6167,6.17703,4.24465,2.37205,3.80498,34.26,186.87,117.88,245.49,138.3,209.15,250.5,0.54,6.32,5.31,11.07,14.3,27.17,11.19,0.00004,0.14059,-0.00053,0.23342,0.27953,0.28716,0.28526,0.26483,0.26703,0.35791,0.35717,0.3569,0.3352,0.33998,0.32418,0.00064,0.02639,0.00005,1440,0.26012,-0.00002,0.0183,0.08276,0.10944,-0.00003,0.78277,0.29139,0.00117,0.00015,0.00165,0.00074
IMPAER,BRIG1,1,08/11/2021,39.465,-74.4492,5,NJ,0.04117,0.54056,1.99625,0,0.00236,0.02938,0.61592,0.03358,0,0.43487,0.12757,0.46244,0.64099,0.58713,3.65895,0.21462,0.41974,2.03277,2.46763,0.22971,0.00325,0.00026,0.00063,-999,126.98,197.16,577.62,376.07,538.09,390.94,343.42,111.7,121.9,539.48,191.98,348.41,216.42,42.88,21.7925,91.08,153.74,401.61,309.06,414.29,317.22,284.77,33.32,46.83,245.89,111.37,219.07,136.4,29.71,0.03219,0.0001,0.04942,0.00099,13.21638,12.6226,8.06293,5.15345,7.46917,73.66,133.59,300.71,272.4,326.41,250.71,231.49,0,0,2.75,2.33,14.22,8.33,1.84,0.00017,0.41904,0.00242,0.24864,0.21895,0.2276,0.26471,0.29814,0.27637,0.42442,0.43437,0.42469,0.40217,0.39635,0.38578,0.00003,0.04412,0.00001,1440,0.41348,0.00041,0.08126,0.26541,0.42504,0.00028,1.45182,0.5416,0.00327,0.00058,0.00245,0.00015
IMPAER,BRIG1,1,08/14/2021,39.465,-74.4492,5,NJ,0.03263,0.18005,1.62102,0,0.00145,0.02192,0.67083,0.06258,0,0.27495,0.07392,0.32694,0.46465,0.37962,3.06648,0.45847,0.5712,1.70361,1.97855,0.03453,0.00098,0.00009,0.00077,-999,82.01,269.18,137.68,451.02,159.5,324.96,230.53,67.67,227.22,133.63,337.78,93.94,195.02,30.3,21.86,57.86,193.11,100.16,373.13,130.49,256.95,192.41,23.97,97.07,65.88,204.31,61.26,125.6,21.31,0.02853,0.00292,0.00826,0.00094,9.59365,8.87114,6.2986,3.29505,5.57609,45.08,142.69,74.05,283.92,103.57,198.54,150.8,0,2.04,2.11,14.35,7.22,16.67,3.98,0.00004,0.13957,0.00404,0.39348,0.43027,0.43027,0.40175,0.39076,0.40723,0.59911,0.59403,0.58166,0.53796,0.53647,0.50812,0.00139,0.04312,-0.00008,1440,0.06215,0.00023,0.07612,0.04885,0.37145,0.00014,1.17892,0.48361,0.00276,0.00021,0.0044,-0.00006
IMPAER,BRIG1,1,08/17/2021,39.465,-74.4492,5,NJ,0.01052,0.18323,0.42879,0,0.00212,0.02672,0.21439,0.03791,0,0.06246,-0.01784,0.15994,0.49417,0.22098,1.88476,0.18984,0.20609,1.04709,1.10955,0.22723,0.00224,0.00011,0.00007,-999,321.34,884.31,339.66,500.65,687.37,420.04,596.29,220.84,592.3,218.1,321.28,562.02,228.97,78.46,21.7675,273.05,802.12,312.16,474.69,619.34,388.28,577.96,157.7,449.88,178.35,277.14,491.14,199.92,70.83,0.00667,0.00016,0.01785,0.00016,10.63225,10.4155,3.34937,7.28288,3.13265,195.72,620.37,260.82,392.8,511.89,328.22,499.49,17.06,62.71,34.98,78.4,194.28,80.23,36.28,0.00004,0.14204,0.00367,0.16216,0.15488,0.13226,0.10596,0.13358,0.14216,0.21752,0.21677,0.21142,0.18735,0.19123,0.17573,0.00009,0.0193,0.00002,1424,0.40901,0.00019,0.03201,0.15285,0.16439,0.00009,0.31185,0.13358,0.00095,0.00022,0.00099,0.0001
IMPAER,BRIG1,1,08/20/2021,39.465,-74.4492,5,NJ,0.02388,0.18851,0.90991,0,0.00112,0.01263,0.51122,0.09349,0,0.33005,0.07683,0.26096,0.50374,0.20274,2.37407,0.27466,0.41714,1.31894,1.64898,0.05975,0.00115,0.00011,0.00091,-999,53.35,159.03,586.51,177.98,508.96,943.58,372.06,35.57,117.24,415.27,107.73,318.52,392.89,47.45,21.57,39.15,116.26,449.9,149.93,409.16,813.51,310.99,12.24,46.73,192.41,59.58,192.69,240.73,31.7,0.02839,0.00213,0.00804,0.00059,9.54395,8.94964,4.78505,4.7589,4.19074,31.01,97.06,376.47,130.58,334.35,739.07,258.17,0,2.13,17.77,8.44,46.69,60.88,11.4,0.00011,0.14613,0.01493,0.33394,0.29009,0.29649,0.31094,0.26315,0.30896,0.47067,0.46173,0.44327,0.37987,0.38101,0.3415,0.00324,0.03103,-0.00008,1440,0.10755,0.00033,0.05389,0.03226,0.28065,0.00001,0.66175,0.25916,0.00239,0.00021,0.01001,-0.00082
IMPAER,BRIG1,1,08/23/2021,39.465,-74.4492,5,NJ,0.01818,0.18502,2.43629,0,0.00149,0.02209,0.81251,0.06496,0,0.40233,0.06676,0.49656,0.51097,0.29189,3.31438,0.47514,0.70222,1.84132,2.24365,0.08167,0.00133,0.00019,0.00119,-999,49.4,392.18,127.07,590.9,208.18,382.29,390.41,49.89,335.65,120.71,521.77,142.64,53.12,53.12,21.685,33.18,272.28,89.26,442.34,164.17,307.34,319.95,16.75,126.37,55.49,282.23,86.72,35.03,35.08,0.02699,0.00157,0.00788,0.00081,12.62955,11.2189,8.12275,4.5068,6.71214,24.97,217.45,70.15,358.26,135.55,263.73,271.98,0,0.06,0,7.62,4.32,3.44,3.22,0.00015,0.14343,0.02179,0.50972,0.46776,0.47274,0.44222,0.38286,0.40355,0.74406,0.73434,0.72101,0.66888,0.6239,0.63329,0.00184,0.03792,-0.00005,1440,0.14701,0.00057,0.03299,0.05191,0.22711,0.00013,1.77185,0.67177,0.00188,0.00019,0.00432,-0.00057
IMPAER,BRIG1,1,08/26/2021,39.465,-74.4492,5,NJ,0.10287,0.47246,3.71874,0,0.00211,0.04787,0.68478,0.01708,0,0.39892,-0.0275,0.40294,0.37821,0.31189,2.46326,0.30294,0.5553,1.36847,1.7674,0.07006,0.00223,0.00027,0.00085,-999,56.57,219.85,186.06,364.54,151.59,324.51,352.94,51.23,267.44,151.67,169.08,122.26,234.2,56.86,21.7775,42.74,166.51,152.7,333.58,130.36,269.11,300.45,14.47,95.45,68.84,92.25,74.24,142.21,37.89,0.07727,0.00131,0.04686,0.00128,14.79466,13.1157,9.94534,4.84932,8.26634,37.58,139.15,128.94,305.48,109.31,234.76,263.66,0,0.46,0.52,1.92,3.54,7.72,4.06,0.00013,0.36625,0.00097,0.34022,0.40158,0.43,0.40158,0.34959,0.35561,0.57479,0.57335,0.56812,0.52779,0.52877,0.49334,0.00003,0.05526,-0.0001,1440,0.12611,0.00052,0.23338,0.17393,1.08685,0.00058,2.70454,0.95684,0.00742,0.00024,0.00413,-0.00026
